
number: 1000

(2, 409)            : 818
(11, 53)            : 583
(2, 7, 37)          : 518
(2, 103)            : [206, 412, 824]
(3, 97)             : [291, 873]
(13, 17)            : 221
(3, 7)              : [21, 63, 147, 189, 441, 567]
(2, 3, 19)          : [114, 228, 342, 456, 684, 912]
(2, 5, 71)          : 710
(7, 47)             : 329
(2, 3, 11, 13)      : 858
(7, 19)             : [133, 931]
(2, 5, 13)          : [130, 260, 520, 650]
(2, 7, 61)          : 854
(7,)                : [49, 343]
(7, 41)             : 287
(3, 331)            : 993
(2, 233)            : [466, 932]
(2, 3, 43)          : [258, 516, 774]
(3, 17, 19)         : 969
(11, 79)            : 869
(2, 17)             : [34, 68, 136, 272, 544, 578]
(2, 317)            : 634
(2, 3, 109)         : 654
(2, 11)             : [22, 44, 88, 176, 242, 352, 484, 704, 968]
(2, 7, 53)          : 742
(3, 283)            : 849
(5, 7, 13)          : 455
(3, 157)            : 471
(19, 23)            : 437
(2, 37)             : [74, 148, 296, 592]
(5, 11, 13)         : 715
(2, 3, 151)         : 906
(7, 131)            : 917
(23, 37)            : 851
(3, 163)            : 489
(3, 7, 41)          : 861
(17, 29)            : 493
(3, 73)             : [219, 657]
(13, 41)            : 533
(2, 389)            : 778
(5, 67)             : 335
(2, 3, 101)         : 606
(2, 5, 29)          : [290, 580]
(11, 31)            : 341
(5, 109)            : 545
(13, 29)            : 377
(7, 107)            : 749
(3, 7, 17)          : 357
(2, 167)            : [334, 668]
(2, 3, 59)          : [354, 708]
(2, 499)            : 998
(3, 269)            : 807
(5, 17)             : [85, 425]
(2, 193)            : [386, 772]
(7, 31)             : 217
(5, 59)             : 295
(3, 293)            : 879
(2, 251)            : 502
(7, 53)             : 371
(5, 7, 19)          : 665
(2, 277)            : 554
(3, 223)            : 669
(2, 271)            : 542
(3, 229)            : 687
(5, 137)            : 685
(2, 29)             : [58, 116, 232, 464, 928]
(3, 139)            : 417
(19, 37)            : 703
(2, 101)            : [202, 404, 808]
(13, 53)            : 689
(2, 433)            : 866
(11, 13)            : 143
(7, 67)             : 469
(3, 5, 47)          : 705
(2, 3, 13)          : [78, 156, 234, 312, 468, 624, 702, 936]
(2, 5, 37)          : [370, 740]
(7, 89)             : 623
(2, 3, 137)         : 822
(3, 47)             : [141, 423]
(2, 7, 31)          : [434, 868]
(2, 211)            : [422, 844]
(7, 13)             : [91, 637]
(3, 53)             : [159, 477]
(7, 43)             : 301
(2, 11, 41)         : 902
(3, 5, 23)          : 345
(2, 3, 5)           : [30, 60, 90, 120, 150, 180, 240, 270, 300, 360, 450, 480, 540, 600, 720, 750, 810, 900, 960]
(2, 5, 61)          : 610
(3, 11, 23)         : 759
(2, 17, 29)         : 986
(2, 257)            : 514
(2, 3, 7, 17)       : 714
(2, 13, 23)         : 598
(2, 443)            : 886
(2, 3, 79)          : [474, 948]
(13,)               : 169
(2, 7, 23)          : [322, 644]
(29, 31)            : 899
(3, 5, 31)          : 465
(2, 3, 29)          : [174, 348, 522, 696]
(2, 5, 53)          : 530
(17, 19)            : 323
(11, 37)            : 407
(23, 29)            : 667
(2, 13, 31)         : 806
(2, 3, 71)          : [426, 852]
(17, 53)            : 901
(2, 7, 47)          : 658
(11, 59)            : 649
(11, 17)            : 187
(7, 79)             : 553
(5, 107)            : 535
(2, 139)            : [278, 556]
(3, 5, 7)           : [105, 315, 525, 735, 945]
(31,)               : 961
(7, 101)            : 707
(3, 29)             : [87, 261, 783]
